brand,origin_region,positioning,business_model,primary_beverage_category,hero_products,regex_pattern,evidence_url
Sharetea,Taiwan,Mainstream milk tea and fruit tea chain,Franchise-heavy,MilkTea,classic milk tea/fruit tea,share\s*tea|sharetea,https://www.1992sharetea.com/
Ding Tea,Taiwan,Mainstream milk tea chain with broad toppings,Franchise-heavy,MilkTea,milk tea/toppings,ding\s*tea,https://www.dingtea.com/
Gong Cha,Taiwan,Global tea franchise with strong urban mall footprint,Franchise-heavy,MilkTea,milk tea/fruit tea,gong\s*cha,https://gongchausofficial.com/
CoCo Fresh Tea & Juice,Taiwan,Scale chain with broad menu and value orientation,Franchise-heavy,MilkTea,milk tea/juice,coco\s*fresh|co\s*co\s*fresh,https://www.coco-tea.com/
Happy Lemon,Taiwan,Cheese-foam and flavored tea specialist,Franchise-heavy,CheeseTea,salted cheese tea/lemon tea,happy\s*lemon,https://happylemonusa.com/
Kung Fu Tea,United States (Taiwan-style),Large US chain focused on milk tea and customization,Franchise-heavy,MilkTea,milk tea/customized sugar-ice,kung\s*fu\s*tea,https://www.kungfutea.com/
TP Tea,Taiwan,Premium tea-latte positioning,Franchise/select,PureTea,tea latte/hand-shaken tea,\btp\s*tea\b,https://www.tp-tea.com/
Yi Fang Taiwan Fruit Tea,Taiwan,Fruit tea and traditional Taiwan recipe positioning,Franchise/select,FruitTea,fruit tea/aiyu jelly,yi\s*fang|yifang,https://www.yifangteausa.com/
Comebuy Tea,Taiwan,Tea chain with fruit tea and milk tea mix,Franchise/select,FruitTea,fruit tea/milk tea,come\s*buy\s*tea|come\s*buy,https://www.comebuy2002.com.tw/
Sunright Tea Studio,Taiwan-origin premium style,Premium experiential milk tea chain,Partner/store growth,MilkTea,milk tea/fresh tea,sunright,https://www.sunrighttea.com/
The Alley,Taiwan,Premium visual-brand milk tea and brown sugar focus,Franchise/select,MilkTea,brown sugar milk tea,the\s*alley,https://www.the-alley.us/
HEYTEA,Mainland China,Premium new-style tea with high brand marketing,Direct/partner,CheeseTea,cheese tea/fruit tea,hey\s*tea|heytea,https://www.heytea.com/
